Soil Type (Region),pH,N,P,K,Humidity (%),Temp (°C),Best Crops,Fertilizer Recommendation
"Arenosols (Far North, Sahel fringe)",6.8,68.8,9.5,73.7,31.6,38.8,"Sesame, Onion",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.7,150.5,11.9,203.5,48.3,40.9,"Cowpea, Millet, Cotton, Sesame",DAP + MOP
Lateritic soils (East region),4.8,92.0,11.8,86.6,73.6,25.2,"Sweet Potato, Plantain, Yam, Cocoyam",NPK 20-10-10
Clay soils (Western Highlands),7.0,142.7,36.1,180.2,81.8,21.0,"Cabbage, Maize, Carrot, Tomato",Urea + DAP + MOP
"Lixisols (Adamawa, North transition)",5.1,129.3,12.7,97.8,56.2,27.7,"Sorghum, Yam, Maize",NPK 15-15-15
Sandy soils (Far North),6.9,61.1,7.2,259.9,33.6,36.5,"Sorghum, Millet, Watermelon, Cowpea",DAP + MOP
Fluvisols (River valleys),6.0,203.8,58.5,166.0,87.7,27.6,"Pepper, Beans",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.4,141.4,9.1,245.3,45.7,35.4,"Cowpea, Sorghum, Sesame",DAP + MOP
"Lixisols (Adamawa, North transition)",5.2,78.8,18.1,81.3,71.1,28.3,"Maize, Cowpea, Groundnuts, Yam",NPK 15-15-15
Fluvisols (River valleys),6.2,248.1,60.6,196.0,86.7,24.3,"Rice, Beans, Pepper",Balanced NPK
Sandy soils (Far North),7.2,43.3,9.1,265.6,27.9,39.6,"Sesame, Onion, Cowpea, Watermelon",DAP + MOP
Fluvisols (River valleys),6.5,223.3,45.8,229.1,75.0,24.6,"Beans, Maize, Rice",Balanced NPK
"Hydromorphic soils (Coastal, Littoral)",4.9,241.6,43.0,118.6,90.2,28.3,"Taro, Plantain, Rice",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.1,99.1,4.8,95.7,87.1,27.6,"Banana, Plantain",Urea + DAP + Lime
Fluvisols (River valleys),6.5,229.0,58.9,170.1,74.4,25.0,"Okra, Tomato, Beans, Maize",Balanced NPK
"Nitisols (West, Northwest highlands)",5.6,183.3,39.6,230.8,85.1,20.1,"Arabica Coffee, Irish Potato, Maize",Urea + DAP
"Vertisols (Far North, Diamare plain)",7.6,104.9,14.4,230.1,52.2,36.2,"Millet, Groundnuts, Cotton, Cowpea",DAP + MOP
Sandy soils (Far North),6.1,62.9,5.0,267.3,38.6,33.5,"Millet, Sesame, Sorghum, Watermelon",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,259.5,40.0,178.9,91.9,18.5,"Cocoa, Tea, Banana, Avocado",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",5.6,246.2,37.9,229.7,85.6,21.7,"Arabica Coffee, Cabbage",Urea + DAP
Black soils (Mbam valley),6.3,214.2,30.2,45.7,83.1,28.0,"Pepper, Tomato, Maize",Urea + MOP
"Arenosols (Far North, Sahel fringe)",6.8,54.1,5.7,39.2,33.5,40.2,"Groundnuts, Onion",Urea + MOP
Lateritic soils (East region),5.2,79.2,12.5,98.0,80.9,27.5,"Cassava, Cocoyam",NPK 20-10-10
Sandy soils (Far North),6.9,37.5,13.4,198.5,33.6,36.3,"Cowpea, Watermelon, Sorghum, Millet",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.4,114.8,10.0,273.8,50.1,37.1,"Groundnuts, Cowpea, Cotton, Sesame",DAP + MOP
Sandy soils (Far North),6.2,59.6,7.9,231.5,26.0,32.9,"Cowpea, Millet, Sorghum, Watermelon",DAP + MOP
Clay soils (Western Highlands),7.4,203.8,42.6,157.6,84.6,21.8,"Irish Potato, Tomato",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.1,110.3,10.8,270.6,48.6,31.6,"Sesame, Millet, Cotton",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.6,127.2,13.1,58.0,84.8,25.4,"Oil Palm, Cassava",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.2,223.8,32.8,110.4,94.6,28.9,"Plantain, Taro, Oil Palm",Urea + DAP
Fluvisols (River valleys),7.0,210.7,48.9,181.6,86.7,23.2,"Maize, Tomato, Okra, Vegetables",Balanced NPK
Fluvisols (River valleys),6.9,202.2,53.2,172.4,82.1,28.9,"Pepper, Okra, Beans, Tomato",Balanced NPK
"Hydromorphic soils (Coastal, Littoral)",4.8,174.8,30.1,102.1,94.6,27.1,"Banana, Oil Palm, Taro",Urea + DAP
"Nitisols (West, Northwest highlands)",5.7,209.7,48.2,234.2,84.5,20.0,"Maize, Beans, Irish Potato",Urea + DAP
Fluvisols (River valleys),6.3,262.0,54.1,184.2,74.0,24.4,"Okra, Tomato, Rice, Pepper",Balanced NPK
Clay soils (Western Highlands),7.0,189.7,39.8,198.3,80.5,20.5,"Lettuce, Maize, Beans, Cabbage",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.6,60.5,6.3,44.0,21.8,38.5,"Onion, Watermelon, Millet",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.1,93.2,19.0,216.5,39.4,41.5,"Millet, Cotton",DAP + MOP
Sandy soils (Far North),6.4,57.1,6.8,197.8,27.6,36.4,"Cowpea, Sorghum",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.0,125.1,11.1,234.3,34.2,42.0,"Millet, Sorghum, Sesame, Cowpea",DAP + MOP
Sandy soils (Far North),6.8,55.3,8.8,203.6,33.4,32.3,"Sorghum, Sesame, Millet, Onion",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.5,64.8,4.2,58.0,27.0,34.4,"Sesame, Cowpea, Millet",Urea + MOP
Sandy soils (Far North),6.4,66.1,4.2,228.9,41.7,35.6,"Watermelon, Cowpea, Onion, Sorghum",DAP + MOP
Clay soils (Western Highlands),6.8,145.4,39.6,196.2,77.3,19.6,"Maize, Beans, Irish Potato, Carrot",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.7,103.6,15.0,260.6,51.1,38.4,"Millet, Cotton, Sesame, Cowpea",DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.9,65.0,7.1,43.2,30.6,33.1,"Sesame, Cowpea, Groundnuts",Urea + MOP
Black soils (Mbam valley),7.2,178.3,33.0,81.0,76.5,26.2,"Vegetables, Pepper, Tomato",Urea + MOP
Black soils (Mbam valley),7.1,172.3,42.2,79.5,75.5,27.5,"Tomato, Soybeans, Maize",Urea + MOP
"Nitisols (West, Northwest highlands)",6.1,215.6,54.9,201.8,84.3,19.8,"Maize, Carrot, Arabica Coffee, Irish Potato",Urea + DAP
Clay soils (Western Highlands),7.1,178.9,31.1,182.7,82.1,21.8,"Irish Potato, Carrot, Maize",Urea + DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,240.8,48.9,117.1,87.0,20.7,"Tea, Coffee, Banana, Plantain",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,177.0,37.1,170.4,92.1,22.3,"Irish Potato, Coffee, Avocado, Banana",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.5,213.9,34.0,114.6,87.3,24.6,"Rice, Plantain, Oil Palm",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.4,66.6,6.7,36.8,23.6,41.4,"Watermelon, Sesame",Urea + MOP
Clay soils (Western Highlands),7.4,182.5,24.1,190.3,80.7,18.2,"Tomato, Carrot, Irish Potato, Beans",Urea + DAP + MOP
Sandy soils (Far North),6.2,52.7,4.5,207.2,31.2,37.3,"Sesame, Cowpea, Sorghum, Millet",DAP + MOP
Fluvisols (River valleys),6.6,208.1,56.3,179.1,73.3,23.3,"Rice, Vegetables, Maize, Tomato",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,162.3,41.1,179.1,92.0,21.8,"Coffee, Irish Potato, Avocado",Urea + DAP + Lime
Fluvisols (River valleys),6.0,254.2,53.0,212.2,80.2,25.3,"Tomato, Okra, Beans",Balanced NPK
"Arenosols (Far North, Sahel fringe)",6.5,71.8,5.3,45.8,36.5,39.3,"Onion, Cowpea, Watermelon, Groundnuts",Urea + MOP
Fluvisols (River valleys),6.3,223.5,64.1,165.0,73.6,25.0,"Okra, Vegetables",Balanced NPK
Black soils (Mbam valley),6.3,152.6,46.3,68.0,74.3,29.6,"Maize, Rice, Tomato",Urea + MOP
Black soils (Mbam valley),6.7,151.4,38.9,71.1,81.6,27.4,"Maize, Vegetables",Urea + MOP
Lateritic soils (East region),5.3,61.2,8.7,55.6,76.5,26.4,"Sweet Potato, Plantain",NPK 20-10-10
"Hydromorphic soils (Coastal, Littoral)",5.1,165.1,43.2,103.6,94.6,24.8,"Sugarcane, Oil Palm, Plantain, Rice",Urea + DAP
"Lixisols (Adamawa, North transition)",5.4,88.0,16.2,108.8,65.7,27.4,"Sorghum, Cowpea, Yam, Groundnuts",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.6,117.5,15.0,112.6,68.5,30.3,"Groundnuts, Yam, Sorghum, Maize",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.4,223.2,27.3,161.4,92.8,28.7,"Sugarcane, Oil Palm, Plantain, Rice",Urea + DAP
"Nitisols (West, Northwest highlands)",6.0,189.7,43.2,176.0,86.1,21.5,"Irish Potato, Cabbage",Urea + DAP
Clay soils (Western Highlands),6.9,180.8,39.8,186.5,90.7,20.9,"Lettuce, Maize, Beans",Urea + DAP + MOP
Fluvisols (River valleys),6.5,211.8,53.2,183.8,86.7,23.3,"Beans, Vegetables",Balanced NPK
Lateritic soils (East region),4.8,93.9,11.7,80.8,76.7,28.5,"Yam, Groundnuts, Cocoyam, Sweet Potato",NPK 20-10-10
Lateritic soils (East region),4.7,95.4,10.6,50.6,71.9,25.3,"Cocoyam, Cassava, Groundnuts",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,205.2,40.9,152.8,95.9,18.7,"Avocado, Plantain, Cocoa, Irish Potato",Urea + DAP + Lime
Clay soils (Western Highlands),6.7,162.3,39.3,177.2,89.6,18.2,"Irish Potato, Carrot",Urea + DAP + MOP
"Nitisols (West, Northwest highlands)",6.0,206.2,40.9,207.5,82.1,21.6,"Irish Potato, Beans, Arabica Coffee, Cabbage",Urea + DAP
Clay soils (Western Highlands),6.6,190.2,23.2,166.5,82.4,18.5,"Maize, Beans",Urea + DAP + MOP
Lateritic soils (East region),5.2,95.6,13.8,93.6,71.0,27.6,"Groundnuts, Cassava, Plantain, Yam",NPK 20-10-10
"Ferralsols (Centre, South forest zone)",5.0,91.6,11.1,88.0,87.5,28.9,"Oil Palm, Cocoa",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,207.4,35.6,157.6,87.0,19.9,"Avocado, Banana, Coffee, Irish Potato",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.5,57.9,11.6,52.4,43.0,40.7,"Groundnuts, Sesame, Millet",Urea + MOP
Fluvisols (River valleys),6.5,196.5,63.8,205.4,82.5,26.2,"Beans, Okra, Pepper, Tomato",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,172.5,46.3,187.5,88.5,21.1,"Avocado, Cocoa, Plantain, Coffee",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",5.9,232.8,42.4,170.8,83.2,20.2,"Cabbage, Irish Potato",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.4,113.7,9.5,96.5,93.0,24.0,"Pineapple, Cassava, Banana, Oil Palm",Urea + DAP + Lime
Fluvisols (River valleys),6.6,215.9,56.3,189.1,74.0,29.8,"Vegetables, Okra, Pepper",Balanced NPK
"Nitisols (West, Northwest highlands)",6.2,197.3,55.7,182.0,84.7,21.5,"Maize, Beans",Urea + DAP
"Vertisols (Far North, Diamare plain)",8.0,115.7,8.6,216.9,49.4,32.9,"Cowpea, Sesame, Cotton",DAP + MOP
"Lixisols (Adamawa, North transition)",5.6,71.3,24.9,92.4,62.0,28.5,"Cowpea, Maize, Sorghum, Groundnuts",NPK 15-15-15
Black soils (Mbam valley),6.6,223.4,42.6,60.3,71.8,26.2,"Soybeans, Tomato, Rice",Urea + MOP
"Arenosols (Far North, Sahel fringe)",6.5,50.8,11.0,72.5,26.1,37.8,"Millet, Onion, Watermelon, Groundnuts",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.2,241.3,33.1,187.7,91.4,17.3,"Irish Potato, Tea, Cocoa, Coffee",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",5.8,248.7,55.0,181.6,83.9,19.8,"Irish Potato, Beans, Arabica Coffee, Carrot",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.0,84.8,8.6,99.5,88.2,26.8,"Oil Palm, Cassava, Cocoa, Pineapple",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.4,66.8,5.9,64.6,29.9,35.9,"Watermelon, Sesame, Onion",Urea + MOP
Sandy soils (Far North),7.1,48.4,11.4,193.1,41.4,31.4,"Cowpea, Sorghum",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.9,100.0,11.2,80.9,90.4,25.9,"Oil Palm, Pineapple, Plantain",Urea + DAP + Lime
Black soils (Mbam valley),6.5,211.6,33.5,57.8,73.5,25.5,"Rice, Maize, Pepper, Vegetables",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.4,117.4,10.2,227.3,50.6,34.9,"Sorghum, Cowpea, Cotton",DAP + MOP
Clay soils (Western Highlands),7.6,195.0,44.5,196.6,81.7,17.3,"Lettuce, Irish Potato, Maize",Urea + DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.6,201.4,54.2,180.1,92.7,21.8,"Plantain, Tea, Coffee, Irish Potato",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.6,220.5,39.3,119.8,96.3,25.4,"Oil Palm, Rice, Plantain, Sugarcane",Urea + DAP
"Nitisols (West, Northwest highlands)",6.1,244.6,57.3,181.8,79.7,21.0,"Cabbage, Maize, Arabica Coffee",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.2,49.2,7.6,68.5,35.1,36.8,"Watermelon, Onion",Urea + MOP
Lateritic soils (East region),5.4,83.6,6.6,73.5,78.9,28.1,"Groundnuts, Yam",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,164.7,32.5,188.7,95.2,20.0,"Irish Potato, Plantain, Avocado, Banana",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.8,121.9,10.7,89.3,68.0,25.8,"Yam, Sorghum, Cassava, Groundnuts",NPK 15-15-15
"Vertisols (Far North, Diamare plain)",7.6,145.0,12.9,256.1,38.9,33.0,"Groundnuts, Sesame",DAP + MOP
"Nitisols (West, Northwest highlands)",5.6,188.9,50.3,224.0,85.7,19.4,"Maize, Beans",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.0,131.4,12.8,59.9,84.9,28.7,"Pineapple, Oil Palm, Cassava",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.1,37.3,9.8,61.3,44.7,37.4,"Onion, Groundnuts, Watermelon, Sesame",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,165.0,33.0,194.7,85.5,17.6,"Cocoa, Irish Potato, Plantain, Banana",Urea + DAP + Lime
Sandy soils (Far North),6.9,41.4,7.9,260.8,37.6,38.7,"Watermelon, Sesame",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.4,97.7,6.5,66.3,90.2,25.9,"Oil Palm, Cassava, Plantain",Urea + DAP + Lime
Black soils (Mbam valley),7.2,201.6,48.1,45.8,83.8,24.8,"Pepper, Tomato, Maize, Rice",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.8,105.5,13.9,272.6,47.1,34.0,"Sesame, Cowpea, Sorghum",DAP + MOP
Fluvisols (River valleys),6.0,232.4,63.6,196.2,78.9,28.0,"Tomato, Okra, Rice, Beans",Balanced NPK
"Ferralsols (Centre, South forest zone)",4.7,132.4,15.9,77.8,89.5,24.8,"Cocoa, Cassava, Pineapple",Urea + DAP + Lime
Black soils (Mbam valley),7.0,163.4,31.6,76.1,79.2,29.2,"Vegetables, Pepper, Tomato, Rice",Urea + MOP
Sandy soils (Far North),6.6,49.2,5.1,242.4,35.0,36.3,"Watermelon, Onion, Sorghum, Sesame",DAP + MOP
Sandy soils (Far North),6.7,40.6,10.0,255.3,44.6,38.0,"Watermelon, Sesame, Cowpea, Sorghum",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.6,107.4,5.7,61.6,89.1,27.5,"Plantain, Banana",Urea + DAP + Lime
Sandy soils (Far North),6.9,36.0,11.2,188.2,25.7,32.6,"Sesame, Onion, Sorghum",DAP + MOP
Lateritic soils (East region),5.3,94.1,16.1,61.2,73.4,26.5,"Plantain, Yam, Cocoyam, Cassava",NPK 20-10-10
"Lixisols (Adamawa, North transition)",5.6,131.7,14.5,103.9,63.1,26.7,"Maize, Cassava",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.3,231.4,34.7,116.2,89.2,24.7,"Taro, Banana, Sugarcane, Plantain",Urea + DAP
"Lixisols (Adamawa, North transition)",5.6,131.1,16.0,87.9,65.7,30.3,"Sorghum, Groundnuts",NPK 15-15-15
Black soils (Mbam valley),7.3,196.4,32.7,80.1,82.9,28.6,"Maize, Vegetables, Rice, Soybeans",Urea + MOP
"Lixisols (Adamawa, North transition)",5.3,87.1,11.0,119.5,71.2,29.0,"Yam, Groundnuts",NPK 15-15-15
"Vertisols (Far North, Diamare plain)",7.8,120.1,10.8,217.2,43.4,37.9,"Sorghum, Groundnuts, Millet, Cowpea",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.9,88.7,14.9,93.0,79.1,25.2,"Plantain, Cocoa, Pineapple, Oil Palm",Urea + DAP + Lime
Clay soils (Western Highlands),7.3,151.6,42.9,181.9,86.5,21.3,"Carrot, Cabbage, Beans",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",8.0,118.5,21.0,246.5,49.7,33.8,"Sorghum, Groundnuts, Cowpea, Millet",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,219.7,43.6,130.0,88.7,21.3,"Irish Potato, Coffee, Cocoa, Banana",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",5.1,126.0,11.2,56.1,93.7,27.9,"Pineapple, Plantain, Oil Palm",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",4.8,233.9,39.0,110.9,98.0,26.7,"Rice, Taro, Plantain",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",4.8,195.5,30.0,117.5,95.9,29.2,"Plantain, Oil Palm, Rice, Sugarcane",Urea + DAP
"Vertisols (Far North, Diamare plain)",7.9,128.9,20.3,196.4,50.8,36.5,"Cowpea, Sesame, Millet, Cotton",DAP + MOP
Clay soils (Western Highlands),6.6,180.3,44.5,172.6,85.5,22.2,"Irish Potato, Tomato, Carrot, Beans",Urea + DAP + MOP
"Ferralsols (Centre, South forest zone)",5.3,127.6,7.2,75.0,80.9,28.6,"Oil Palm, Pineapple, Cocoa, Cassava",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",6.0,174.0,41.8,173.6,83.5,18.7,"Irish Potato, Beans",Urea + DAP
Sandy soils (Far North),6.9,75.9,7.6,189.6,29.1,35.1,"Sesame, Cowpea, Watermelon, Millet",DAP + MOP
"Lixisols (Adamawa, North transition)",6.0,83.1,17.2,79.9,65.9,28.8,"Maize, Yam",NPK 15-15-15
"Nitisols (West, Northwest highlands)",5.8,212.3,50.2,216.5,80.8,21.4,"Beans, Maize, Irish Potato, Carrot",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.4,44.7,9.8,47.2,33.4,34.9,"Groundnuts, Sesame, Millet, Watermelon",Urea + MOP
Black soils (Mbam valley),7.1,206.5,31.6,63.8,72.2,28.5,"Pepper, Soybeans, Maize, Rice",Urea + MOP
Black soils (Mbam valley),6.7,202.2,36.9,43.0,84.1,25.4,"Pepper, Vegetables, Soybeans, Tomato",Urea + MOP
"Arenosols (Far North, Sahel fringe)",7.1,70.0,4.9,47.3,42.0,39.5,"Watermelon, Sesame, Groundnuts",Urea + MOP
"Arenosols (Far North, Sahel fringe)",7.3,53.3,9.4,72.3,37.2,36.8,"Cowpea, Watermelon, Groundnuts, Onion",Urea + MOP
Black soils (Mbam valley),7.2,176.0,29.9,60.4,75.0,29.7,"Tomato, Maize, Rice, Vegetables",Urea + MOP
"Nitisols (West, Northwest highlands)",5.9,242.4,37.3,173.7,80.5,18.8,"Carrot, Arabica Coffee, Irish Potato",Urea + DAP
Black soils (Mbam valley),6.4,154.2,50.0,58.4,76.0,24.4,"Maize, Soybeans, Rice",Urea + MOP
Sandy soils (Far North),6.7,68.8,12.0,237.2,39.7,31.5,"Cowpea, Onion, Sesame",DAP + MOP
Sandy soils (Far North),6.2,43.3,8.9,212.9,39.2,37.2,"Sesame, Cowpea",DAP + MOP
"Nitisols (West, Northwest highlands)",5.7,196.3,57.3,217.0,87.9,19.9,"Beans, Carrot",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",5.1,172.0,42.0,157.7,97.8,27.4,"Plantain, Taro",Urea + DAP
"Lixisols (Adamawa, North transition)",5.8,101.5,14.7,68.7,57.3,23.4,"Cowpea, Yam",NPK 15-15-15
Lateritic soils (East region),5.4,76.3,7.1,74.4,72.1,25.5,"Cassava, Yam, Plantain, Sweet Potato",NPK 20-10-10
"Ferralsols (Centre, South forest zone)",4.6,112.3,11.3,87.0,93.2,25.0,"Oil Palm, Cassava",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.5,251.3,47.5,161.9,94.6,17.6,"Avocado, Tea",Urea + DAP + Lime
Fluvisols (River valleys),6.0,192.0,55.1,168.7,79.4,23.6,"Pepper, Beans, Vegetables, Okra",Balanced NPK
Fluvisols (River valleys),6.5,212.5,52.8,230.1,82.6,29.0,"Rice, Okra",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,263.9,59.1,138.6,95.3,21.6,"Coffee, Cocoa, Plantain",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.3,254.4,36.1,125.4,87.3,17.2,"Avocado, Coffee, Cocoa, Plantain",Urea + DAP + Lime
Fluvisols (River valleys),5.9,205.3,42.0,176.8,88.9,28.5,"Beans, Pepper, Maize",Balanced NPK
"Volcanic Andosols (NW, Mt. Cameroon)",4.3,175.9,56.4,192.6,85.0,21.5,"Banana, Tea, Irish Potato",Urea + DAP + Lime
Lateritic soils (East region),5.1,67.2,17.6,65.7,80.6,27.3,"Cassava, Groundnuts, Cocoyam, Yam",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,196.6,53.4,145.2,96.1,22.1,"Cocoa, Tea, Irish Potato, Avocado",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.2,134.3,15.8,208.0,33.5,32.9,"Sorghum, Cowpea, Groundnuts",DAP + MOP
Clay soils (Western Highlands),6.9,185.3,41.2,175.8,85.3,21.0,"Cabbage, Carrot, Beans",Urea + DAP + MOP
Lateritic soils (East region),5.3,105.5,15.3,78.8,73.7,27.3,"Sweet Potato, Plantain, Cocoyam, Groundnuts",NPK 20-10-10
Clay soils (Western Highlands),7.0,175.4,23.3,216.0,76.1,21.9,"Irish Potato, Beans, Carrot",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.6,58.5,4.3,71.4,36.7,40.5,"Groundnuts, Millet, Onion",Urea + MOP
"Arenosols (Far North, Sahel fringe)",7.4,43.1,8.6,61.0,43.2,38.5,"Onion, Watermelon, Sesame",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,185.8,51.2,138.0,87.0,16.6,"Avocado, Plantain",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",5.0,115.9,10.4,63.3,88.3,24.6,"Cocoa, Plantain, Cassava",Urea + DAP + Lime
Clay soils (Western Highlands),6.7,153.7,29.9,201.6,80.7,20.5,"Lettuce, Carrot",Urea + DAP + MOP
"Ferralsols (Centre, South forest zone)",5.0,97.7,13.0,58.7,87.1,26.0,"Oil Palm, Banana",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",5.0,93.0,7.7,70.4,84.4,25.5,"Cocoa, Plantain",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.1,140.2,11.1,278.4,36.4,40.7,"Groundnuts, Millet",DAP + MOP
"Nitisols (West, Northwest highlands)",5.9,233.1,52.3,231.7,80.4,21.0,"Maize, Arabica Coffee, Carrot",Urea + DAP
Lateritic soils (East region),5.4,61.3,10.7,67.8,84.8,26.9,"Cassava, Groundnuts, Sweet Potato",NPK 20-10-10
"Arenosols (Far North, Sahel fringe)",7.1,60.8,5.6,53.5,26.3,39.2,"Cowpea, Millet, Onion, Watermelon",Urea + MOP
"Lixisols (Adamawa, North transition)",5.1,88.7,21.1,104.5,68.1,29.4,"Cowpea, Cassava, Maize, Yam",NPK 15-15-15
Clay soils (Western Highlands),6.9,169.5,32.0,155.1,86.4,21.5,"Irish Potato, Tomato, Carrot",Urea + DAP + MOP
"Nitisols (West, Northwest highlands)",6.0,179.3,58.6,175.8,85.6,21.6,"Irish Potato, Cabbage, Maize, Beans",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.6,36.1,9.8,56.7,41.5,39.8,"Watermelon, Onion, Millet",Urea + MOP
Lateritic soils (East region),5.2,67.3,12.4,69.5,84.5,28.0,"Plantain, Sweet Potato",NPK 20-10-10
"Arenosols (Far North, Sahel fringe)",7.0,38.7,11.0,33.5,43.2,37.0,"Groundnuts, Onion, Millet, Watermelon",Urea + MOP
"Nitisols (West, Northwest highlands)",6.4,209.1,42.8,170.5,81.0,22.8,"Arabica Coffee, Irish Potato, Maize",Urea + DAP
"Lixisols (Adamawa, North transition)",5.7,105.0,19.5,81.3,65.6,27.8,"Groundnuts, Cassava, Maize",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.5,123.9,12.1,75.7,66.1,25.9,"Groundnuts, Maize, Yam",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.6,126.0,25.6,77.1,67.9,24.5,"Cowpea, Yam, Cassava",NPK 15-15-15
Sandy soils (Far North),7.1,57.3,10.9,237.6,34.0,37.5,"Millet, Watermelon, Sorghum",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.4,194.5,36.9,91.4,97.8,28.1,"Sugarcane, Taro, Rice",Urea + DAP
Sandy soils (Far North),7.0,68.9,9.8,195.0,24.2,36.9,"Millet, Watermelon, Cowpea, Onion",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.2,104.6,8.6,241.5,49.8,32.7,"Sorghum, Cowpea, Groundnuts",DAP + MOP
"Lixisols (Adamawa, North transition)",5.4,93.2,16.0,112.7,65.7,23.2,"Cowpea, Sorghum",NPK 15-15-15
"Ferralsols (Centre, South forest zone)",5.1,133.7,10.4,56.3,88.6,28.7,"Oil Palm, Pineapple",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.4,80.8,14.2,80.2,90.9,27.6,"Cassava, Plantain, Banana, Oil Palm",Urea + DAP + Lime
Black soils (Mbam valley),6.8,195.5,52.4,70.1,78.1,28.2,"Vegetables, Tomato",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.2,241.4,37.8,129.9,95.7,26.2,"Banana, Rice, Plantain, Taro",Urea + DAP
Fluvisols (River valleys),5.9,255.7,47.7,172.0,83.8,28.7,"Okra, Vegetables",Balanced NPK
Fluvisols (River valleys),6.9,225.9,47.2,171.7,77.9,25.9,"Tomato, Rice",Balanced NPK
